Velocity (rpm),Current (mA),Time (ms)
0,12,4
0,12,8
0,12,12
0,23,16
0,23,20
0,12,24
0,12,28
0,12,32
0,12,36
0,12,40
0,12,44
0,12,48
0,12,53
0,23,59
0,12,65
0,23,70
0,12,76
0,12,82
0,12,88
0,12,94
0,12,100
0,12,106
0,12,112
0,2,117
0,2,122
0,12,128
0,12,133
0,12,137
0,12,141
0,12,147
0,12,152
0,12,158
0,7,164
0,7,170
0,7,176
0,7,182
0,7,188
0,7,194
0,7,198
0,7,204
0,7,210
0,7,214
0,7,218
0,7,224
0,7,228
0,7,232
0,-4,238
0,7,242
0,7,248
0,7,252
0,7,257
0,7,261
0,7,266
0,7,272
0,7,278
0,7,284
0,7,290
0,18,296
0,7,302
0,7,308
0,7,314
0,-4,320
0,7,326
0,7,332
0,7,337
0,7,343
0,-4,348
0,-4,354
0,7,360
0,7,365
0,7,369
0,-4,375
0,7,380
0,7,385
0,7,389
0,7,394
0,7,400
0,-4,406
0,7,412
0,7,418
0,7,424
0,7,430
0,7,436
0,-4,442
0,-4,446
0,7,452
0,7,458
0,7,464
0,7,470
0,7,475
0,7,480
0,7,486
0,7,492
0,7,498
0,7,503
0,7,507
0,-4,511
0,7,515
0,18,520
0,7,526
0,7,532
0,7,538
0,7,544
0,7,549
0,-4,553
0,7,558
0,7,564
0,7,569
0,-4,573
0,7,577
0,7,581
0,-4,585
0,-4,589
0,7,593
0,7,599
0,-4,605
0,7,611
0,18,617
0,7,623
0,7,628
0,7,633
0,7,638
0,7,644
0,7,650
0,7,656
0,7,661
0,7,667
0,7,673
0,7,679
0,7,685
0,7,690
0,7,694
0,7,700
0,7,706
0,-4,711
0,7,717
0,7,721
0,7,727
0,-4,733
0,7,737
0,7,743
0,7,749
0,7,753
0,7,757
0,7,761
0,7,765
0,7,769
0,7,775
0,7,781
0,7,787
0,-4,793
0,7,798
0,-4,804
0,7,810
0,7,816
0,7,822
0,7,828
0,7,834
0,7,839
0,7,844
0,7,849
0,7,855
0,7,861
0,7,867
0,7,873
0,7,877
0,7,881
0,7,885
0,7,889
0,7,893
0,-4,897
0,7,903
0,7,907
0,7,913
0,7,919
0,7,925
0,7,931
0,7,936
0,7,942
0,7,948
0,7,954
0,7,960
0,7,965
0,7,971
0,7,977
0,7,982
0,7,986
0,7,992
0,7,998
0,7,1003
0,7,1008
0,7,1013
0,7,1019
0,7,1025
0,7,1031
0,7,1037
0,7,1043
0,7,1049
0,7,1055
0,7,1061
0,7,1067
0,7,1073
0,7,1079
0,7,1085
0,7,1090
0,7,1094
0,-4,1100
0,7,1106
0,7,1112
0,7,1118
0,7,1122
0,7,1126
0,7,1130
0,18,1136
0,7,1142
0,7,1148
0,7,1153
0,7,1159
0,7,1165
0,7,1171
0,18,1177
0,7,1183
0,7,1189
0,7,1195
0,7,1200
0,7,1204
0,7,1210
0,7,1214
0,18,1220
0,18,1226
0,18,1232
0,7,1237
0,7,1242
0,7,1246
0,7,1250
0,18,1256
0,18,1260
0,18,1266
0,7,1272
0,7,1278
0,7,1284
0,7,1290
0,7,1296
0,7,1302
0,7,1307
0,7,1313
0,7,1318
0,7,1322
0,18,1326
0,7,1332
0,7,1337
0,7,1342
0,18,1348
0,7,1352
0,7,1358
0,7,1364
0,18,1369
0,7,1374
0,7,1378
0,7,1382
0,7,1387
0,7,1393
0,7,1398
0,7,1404
0,7,1410
0,7,1416
0,-4,1422
0,7,1428
0,7,1432
0,7,1436
0,-4,1442
0,7,1447
0,7,1452
0,7,1458
0,7,1463
0,-4,1469
0,7,1475
0,7,1480
0,7,1486
0,7,1492
0,7,1496
0,7,1500
0,7,1506
0,7,1512
0,7,1518
0,7,1523
0,7,1529
0,7,1535
0,7,1540
0,7,1544
0,7,1550
0,18,1555
0,7,1559
0,7,1563
0,7,1567
0,7,1572
0,7,1578
0,7,1584
0,7,1590
0,7,1596
0,7,1601
0,7,1607
0,7,1613
0,7,1618
0,7,1622
0,7,1626
0,-4,1630
0,18,1634
0,7,1638
0,7,1642
0,7,1647
0,7,1651
0,7,1656
0,7,1662
0,7,1666
0,7,1671
0,-4,1676
0,7,1680
0,7,1684
0,7,1690
0,7,1695
0,7,1701
0,7,1707
0,7,1713
0,7,1719
0,7,1724
0,7,1730
0,7,1736
0,7,1741
0,7,1745
0,18,1751
0,7,1756
0,7,1761
0,18,1766
0,7,1771
0,7,1775
0,7,1780
0,7,1784
0,7,1789
0,7,1795
0,7,1801
0,7,1807
0,7,1813
0,7,1818
0,7,1823
0,18,1828
0,7,1833
0,7,1838
0,18,1844
0,18,1849
0,7,1853
0,7,1857
0,7,1862
0,7,1866
0,7,1872
0,7,1878
0,7,1882
0,7,1887
0,-4,1893
0,7,1899
0,-4,1905
0,7,1910
0,7,1916
0,7,1922
0,7,1928
0,7,1934
0,7,1940
0,7,1946
0,7,1952
0,7,1958
0,7,1964
0,7,1970
0,7,1974
0,7,1978
0,7,1983
0,7,1988
0,18,1992
0,7,1997
0,7,2002
0,7,2008
0,-4,2014
0,7,2020
0,7,2026
0,-4,2032
0,7,2038
0,-4,2044
0,7,2050
0,7,2056
0,7,2062
0,7,2068
0,7,2074
0,7,2079
0,7,2083
0,7,2089
0,7,2094
0,-4,2098
0,7,2102
0,7,2107
0,7,2111
0,7,2117
0,7,2123
0,7,2128
0,18,2133
0,7,2139
0,7,2145
0,7,2151
0,18,2156
0,7,2162
0,7,2168
0,7,2174
0,7,2180
0,7,2186
0,7,2191
0,7,2197
0,7,2203
0,7,2207
0,7,2213
0,7,2218
0,7,2222
0,18,2227
0,7,2233
0,7,2239
0,7,2245
0,7,2251
0,7,2257
0,7,2263
0,7,2269
0,7,2275
0,7,2281
0,7,2287
0,7,2293
0,7,2297
0,7,2301
0,7,2307
0,7,2312
0,7,2316
0,7,2321
0,7,2325
0,7,2329
0,7,2333
0,18,2339
0,7,2345
0,7,2351
0,7,2357
0,-4,2363
0,7,2369
0,-4,2375
0,7,2381
